カナ,会社名,所在地,電話番号,資本金
トウエイケンセツ,東英建設（株）,〒182-0024 東京都調布市 布田１－３－１－２０１,042-485-0105,"44,000千円"
サクラケンセツ,桜建設（株）,〒191-0032 東京都日野市 三沢２－１８－３,042-591-0630,"40,000千円"
トウワデンキコウジ,東和電気工事（株）,〒113-0023 東京都文京区 向丘２－３－８ニュー本郷３０４,03-3814-3838,"13,000千円"
オギグミ,（有）尾木組,〒178-0062 東京都練馬区 大泉町１－４－７,03-3924-5496,"3,000千円"
ミツオグミ,（株）三尾組,〒144-0045 東京都大田区 南六郷２－２５－１９,03-3733-2120,"12,800千円"
ゴヨウケンセツ,五葉建設（株）,〒165-0021 東京都中野区 丸山２－２３－２５,03-3338-8732,"15,000千円"
セキノコウムテン,（株）関野工務店,〒116-0013 東京都荒川区 西日暮里５－１８－８,03-3891-6005,"10,000千円"
シラタニケンセツ,白谷建設（株）,〒120-0011 東京都足立区 中央本町２－４－１３,03-3886-5111,"52,000千円"
イノウエコウギョウ,井上工業（株）,〒151-0073 東京都渋谷区 笹塚２－４１－１３,03-5354-3088,"10,000千円"
ノグチカンコウ,野口管工（株）,〒179-0073 東京都練馬区 田柄２－１０－７,03-3977-2602,"10,000千円"
ワカト,（株）若登,〒192-0904 東京都八王子市 子安町３－３６－１,042-646-2351,"22,000千円"
サンキョウソウショクコウギョウ,三共装飾工業（株）,〒116-0013 東京都荒川区 西日暮里２－３１－２,03-3803-9026,"10,000千円"
オオツキコウギョウ,（有）大月工業,〒124-0025 東京都葛飾区 西新小岩４－２８－２１,03-3696-5123,"3,000千円"
ササコウムテン,（有）佐々工務店,〒166-0001 東京都杉並区 阿佐谷北６－１０－１,03-3337-4770,"5,800千円"
マンジョウタクミ,（株）万浄匠,〒182-0003 東京都調布市 若葉町２－２７－３８,03-3307-5161,"45,000千円"
オニツカコウムテン,（株）オニツカ工務店,〒182-0021 東京都調布市 調布ケ丘４－３４－４,042-486-2833,"16,000千円"
イナカメリョクカ,（株）稲亀緑花,〒133-0073 東京都江戸川区 鹿骨１－２０－６,03-3670-5206,"20,000千円"
メイジアドエージェンシー,（株）明治アドエージェンシー,〒151-0063 東京都渋谷区 富ケ谷１－５－１,03-3469-2131,"226,500千円"
タイシュウ,（株）泰秀,〒179-0073 東京都練馬区 田柄３－２２－１５,03-3970-2224,"10,000千円"
ナルサワコウムテン,（株）成澤工務店,〒194-0012 東京都町田市 金森４－１４－５,042-796-2471,"10,000千円"
ミヤモトコウムテン,（株）宮本工務店,〒105-0014 東京都港区 芝１－３－２,03-3451-6987,"10,000千円"
スドウテッコウ,須藤鉄工（株）,〒135-0011 東京都江東区 扇橋１－１４－１０,03-3645-8521,"10,000千円"
クマイショウテン,（株）クマイ商店,〒110-0002 東京都台東区 上野桜木２－１３－３,03-3823-0901,"10,000千円"
ナカムラコウムテン,（有）中村工務店,〒204-0003 東京都清瀬市 中里３－１１１４,042-491-2361,"10,000千円"
ホンダコウギョウウンユ,（株）本田工業運輸,〒124-0011 東京都葛飾区 四つ木５－７－１２,03-3691-9244,"10,000千円"
クボタコウギョウショ,（株）久保田工業所,〒125-0042 東京都葛飾区 金町１－１９－１７,03-3607-1558,"26,000千円"
ヤマミズコウギョウ,山水工業（株）,〒110-0012 東京都台東区 竜泉３－４４－３,03-3876-0171,"85,000千円"
ヌマオコウギョウ,沼尾興業（株）,〒136-0073 東京都江東区 北砂５－１７－４２,03-3648-5411,"10,000千円"
ヒデナカ,（株）秀中,〒102-0074 東京都千代田区 九段南２－５－１,03-3262-5305,"10,000千円"
イナガキグミ,（株）稲垣組,〒120-0035 東京都足立区 千住中居町１８－６,03-3881-2535,"10,000千円"
サダマツケンセツ,貞松建設（株）,〒157-0061 東京都世田谷区 北烏山５－２１－６,03-3308-6781,"10,000千円"
クロサキケンセツ,黒崎建設（株）,〒110-0004 東京都台東区 下谷１－６－５,03-5828-3541,"12,000千円"
サカエコウギョウ,栄工業（株）,〒104-0061 東京都中央区 銀座３－１４－１９第２小川ビル,03-3541-4551,"20,000千円"
ツジワキケンセツ,辻脇建設（株）,〒181-0004 東京都三鷹市 新川４－２４－９,0422-49-7717,"10,000千円"
ムラノケンセツ,村野建設（株）,〒197-0814 東京都あきる野市 二宮２３８９－４,042-558-1138,"10,000千円"
オオハマケンセツコウギョウ,大濱建設工業（株）,〒145-0071 東京都大田区 田園調布４－４６－５,03-3721-7126,"10,000千円"
イケダハイカンケンセツコウギョウ,池田配管建設工業（株）,〒201-0014 東京都狛江市 東和泉１－９－１４,03-3489-0733,"10,000千円"
アリカワカイジドボク,有川海事土木（株）,〒144-0042 東京都大田区 羽田旭町２－３,03-3745-4334,"20,000千円"
スズキグミ,（株）鈴木組,〒167-0023 東京都杉並区 上井草３－３１－１５,03-3396-6391,"15,000千円"
アズマコウムテン,（株）東工務店,〒187-0031 東京都小平市 小川東町５－３－１８,042-343-3471,"10,000千円"
ヤナモト,（有）柳元,〒130-0002 東京都墨田区 業平５－４－１５,03-3622-8920,"3,000千円"
コウエイコウギョウ,光栄工業（株）,〒177-0044 東京都練馬区 上石神井１－２０－５,03-3928-2271,"45,000千円"
オオクボコウムテン,大久保工務店（株）,〒192-0912 東京都八王子市 絹ケ丘２－２－１,042-635-7322,"10,000千円"
ヨシザワコウムテン,（株）吉沢工務店,〒180-0023 東京都武蔵野市 境南町１－２９－３,0422-32-2549,"10,000千円"
コバヤシグミ,（株）小林組,〒193-0823 東京都八王子市 横川町９８９－２,042-625-9990,"10,000千円"
ナガノコウギョウショ,（有）永野工業所,〒143-0012 東京都大田区 大森東２－３０－１８,03-3761-1063,"3,000千円"
アダチエンジニアリング,（株）,〒120-0044 東京都足立区 千住緑町３－１－１０,03-5244-0803,"10,000千円"
ミズノコウギョウ,ミズノ工業（株）,〒146-0095 東京都大田区 多摩川１－２６－１０,03-3756-2121,"10,000千円"
アヅマケンセツ,吾妻建設（株）,〒194-0036 東京都町田市 木曽東２－２－２,042-728-8204,"10,200千円"
ヤマテコウギョウ,山手興業（有）,〒157-0071 東京都世田谷区 千歳台３－９－８－２０５,03-5787-7814,"10,000千円"
コマキゾウエン,（株）小牧造園,〒182-0011 東京都調布市 深大寺北町６－１４－８,042-482-5419,"20,000千円"
イイダトチケンセツ,飯田土地建設（株）,〒123-0863 東京都足立区 谷在家１－３－９,03-5837-5215,"20,000千円"
ワタベドウロ,渡部道路（株）,〒192-0352 東京都八王子市 大塚６２７－８,0426-76-9515,"10,000千円"
カンエツドボク,（株）関越土木,〒175-0092 東京都板橋区 赤塚３－２０－６,03-3930-8203,"23,000千円"
アサヒケンパン,アサヒ建販（株）,〒120-0003 東京都足立区 東和２－９－２１佐藤マンション１０１号室,03-5697-7766,"10,000千円"
イトウコウムテン,（株）伊藤工務店,〒114-0001 東京都北区 東十条１－２１－１,03-3919-1377,"10,000千円"
シノキコウムテン,篠木工務店（株）,〒203-0003 東京都東久留米市 金山町１－１３－１,042-471-2610,"20,000千円"
ナベケン,（株）,〒166-0014 東京都杉並区 松ノ木３－１４－１１,03-3313-8221,"10,000千円"
ショウワケンソウ,（株）昭和建装,〒115-0043 東京都北区 神谷２－１６－８,03-3901-1025,"10,000千円"
ダイコクヤエンゲイジョウ,（株）大國屋園芸場,〒134-0091 東京都江戸川区 船堀７－５－１５,03-5675-1188,"36,000千円"
カワナカグミ,（株）川中組,〒171-0052 東京都豊島区 南長崎１－１２－７,03-3951-7551,"10,000千円"
ミズコシセツビ,水越設備（株）,〒192-0914 東京都八王子市 片倉町２２４３,042-636-8331,"20,000千円"
ウエノコウムテン,（有）上野工務店,〒166-0003 東京都杉並区 高円寺南４－１４－６,03-3311-8755,"3,000千円"
ダイオウケンセツ,大王建設（株）,〒131-0033 東京都墨田区 向島１－２４－１２,03-3622-1547,"10,000千円"
トウキョウシンケンソウ,東京新建装（株）,〒146-0093 東京都大田区 矢口３－３２－１－６０１,03-3757-8808,"10,000千円"
ニッシン,（株）二進,〒157-0076 東京都世田谷区 岡本１－３８－１３,03-3700-2424,"10,000千円"
タカハシコウムテン,（株）高橋工務店,〒102-0073 東京都千代田区 九段北１－１０－５,03-3262-5201,"20,000千円"
トシエイコウムテン,（株）敏栄工務店,〒191-0041 東京都日野市 南平６－１－１１,042-591-3310,"20,000千円"
ホウヤコウギョウショ,（株）保谷工業所,〒180-0023 東京都武蔵野市 境南町３－１６－７,0422-31-7635,"30,000千円"
モトハシコウムテン,（株）本橋工務店,〒167-0035 東京都杉並区 今川３－８－１０,03-3396-0135,"10,000千円"
バラタミ,（株）茨民,〒143-0012 東京都大田区 大森東１－１６－５,03-3761-6380,"10,000千円"
ホンダドウロ,（有）本田道路,〒194-0035 東京都町田市 忠生２－２３－２,042-793-2155,"3,000千円"
トウキョウデンデン,東京電電（株）,〒165-0024 東京都中野区 松が丘２－１１－１３,03-3385-0488,"10,000千円"
ヤマミケンセツ,（株）山実建設,〒156-0054 東京都世田谷区 桜丘３－３５－２９,03-3420-7698,"10,000千円"
ウエスギセツビ,（株）上杉設備,〒176-0024 東京都練馬区 中村１－８－２,03-3998-2252,"40,000千円"
ヒカワケンセツ,氷川建設（株）,〒203-0051 東京都東久留米市 小山５－７－４,042-474-3257,"10,000千円"
ヨシミケンセツ,吉見建設（株）,〒176-0021 東京都練馬区 貫井４－４７－４２,03-3990-3321,"95,000千円"
アオキセツビコウギョウショ,（株）青木設備工業所,〒198-0087 東京都青梅市 天ヶ瀬町１１８３,0428-22-4411,"10,000千円"
サンケイケンセツ,サンケイ建設（株）,〒144-0053 東京都大田区 蒲田本町１－９－６,03-3732-6321,"10,000千円"
サンコウケンセツ,三幸建設（株）,〒202-0015 東京都西東京市 保谷町３－２－１,0424-61-1781,"33,000千円"
ミネムラケンセツ,峯村建設（資）,〒168-0064 東京都杉並区 永福３－３１－１４,03-3322-6365,"5,000千円"
コバヤシコウムテン,（株）小林工務店,〒140-0013 東京都品川区 南大井１－８－１７,03-3764-3574,"10,000千円"
ヨコヤマケンセツ,横山建設（株）,〒146-0094 東京都大田区 東矢口１－６－１８,03-3735-0131,"80,000千円"
ダイイイケンセツ,大飯建設（株）,〒120-0012 東京都足立区 青井３－２１－１１,03-5681-8571,"15,000千円"
ナガシマコウムテン,（株）長島工務店,〒134-0088 東京都江戸川区 西葛西７－１９－５レフィーズ西葛西２Ｆ,03-3680-1410,"10,000千円"
マルコウコウムテン,（株）丸康工務店,〒121-0816 東京都足立区 梅島３－２９－６,03-3889-8401,"10,000千円"
ニッショウコウギョウ,日昇工業（株）,〒187-0004 東京都小平市 天神町４－１４－２４,042-328-3800,"50,000千円"
オセオボウスイコウギョウ,オセオ防水工業（株）,〒179-0081 東京都練馬区 北町２－３５－１４,03-3931-4911,"10,000千円"
ソウエイケンセツ,壮栄建設（株）,〒173-0063 東京都板橋区 前野町４－１２－１,03-3967-3341,"20,000千円"
ヒグチコウムテン,（株）＊口工務店,〒164-0013 東京都中野区 弥生町４－５－７,03-3384-1511,"50,000千円"
ヤマモトコウギヨウショ,（有）山本工業所,〒135-0044 東京都江東区 越中島２－５－３,03-3641-6302,"6,000千円"
ワタナベイチケンセツ,（株）渡辺一建設,〒166-0013 東京都杉並区 堀ノ内２－３２－４,03-3313-3121,"25,000千円"
エイワサンギョウ,永和産業（株）,〒134-0084 東京都江戸川区 東葛西６－２３－２,03-3687-2281,"30,000千円"
スドウゾウエン,（株）須藤造園,〒174-0074 東京都板橋区 東新町２－３６－２,03-3956-3972,"10,000千円"
キシヤジュウケン,キシヤ住建（株）,〒187-0032 東京都小平市 小川町１－９８４－２,042-343-1160,"10,000千円"
スズモトドボク,鈴本土木（株）,〒121-0801 東京都足立区 東伊興１－１２－１４,03-3899-3182,"10,000千円"
ミネオキコウ,峯尾機工（株）,〒167-0034 東京都杉並区 桃井１－１－２０,03-3396-0281,"41,500千円"
ヒラオカコウムテン,（株）平岡工務店,〒133-0065 東京都江戸川区 南篠崎町４－１４－１５,03-3670-2464,"33,000千円"
スギタコウムテン,（株）杉田工務店,〒114-0001 東京都北区 東十条６－７－１１,03-3902-7660,"10,000千円"
タケダコウムテン,（株）竹田工務店,〒169-0075 東京都新宿区 高田馬場３－２１－９,03-3361-5345,"10,000千円"
